LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2049,2049,0,-1.0,961.5,687.5,0.0,13.0,13,5.0,1,,56473.762886597935,65535.0,13878.0,65535.0,5477955.0,17096.548668988966,0.20032552653791427,1.1025683603064502,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2051,2051,0,-1.0,959.5,697.5,0.0,14.0,14,5.0,1,,62697.40206185567,65535.0,24672.0,65535.0,6081648.0,8903.816642620888,0.17804626736502935,2.1285010035080902,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2053,2053,0,-1.0,951.5,689.5,0.0,15.0,15,5.0,1,,63730.701030927834,65535.0,26214.0,65535.0,6181878.0,6591.079225559585,0.34635606672683683,4.974907691181103,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2055,2055,0,-1.0,955.5,687.5,0.0,16.0,16,5.0,1,,65177.31958762887,65535.0,50115.0,65535.0,6322200.0,2064.2011850148006,0.32738979692917286,15.575469053395869,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2063,2063,0,-1.0,945.5,679.5,0.0,17.0,17,5.0,1,,61250.78350515464,65535.0,26214.0,65535.0,5941326.0,9888.011796938325,0.33753832891903796,3.1264358935396994,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2065,2065,0,-1.0,945.5,679.5,0.0,18.0,18,5.0,1,,64732.20618556701,65535.0,41634.0,65535.0,6279024.0,3573.1045235497,0.33208908538621024,9.03287532323301,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID2067,2067,0,-1.0,939.5,681.5,0.0,19.0,19,5.0,1,,59971.0824742268,65535.0,16962.0,65535.0,5817195.0,13607.761766168365,0.3057717337221688,2.06402645181886,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
