LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID5984,5984,0,-1.0,915.5,715.5,0.0,2.0,2,5.0,1,,65439.61855670103,65535.0,58596.0,65535.0,6347643.0,740.3350936583117,0.15993651598061417,24.375628869490058,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID5980,5980,0,-1.0,925.5,723.5,0.0,0.0,0,5.0,1,,63849.927835051545,65535.0,33153.0,65535.0,6193443.0,5647.42138658474,0.2212008570013688,4.095811085317631,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID5982,5982,0,-1.0,923.5,711.5,0.0,1.0,1,5.0,1,,63524.0412371134,65535.0,30840.0,65535.0,6161832.0,6305.563905389308,0.24148184471565287,3.9191175970594267,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6003,6003,1,-1.0,907.5,721.5,0.0,0.0,0,5.0,1,,62554.32989690721,65535.0,22359.0,65535.0,6067770.0,8942.733736486925,0.2848388636404478,3.1014704776307376,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6005,6005,1,-1.0,909.5,699.5,0.0,1.0,1,5.0,1,,63651.21649484536,65535.0,23130.0,65535.0,6174168.0,6871.719138715699,0.23262905122074348,3.4962530116068695,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6007,6007,1,-1.0,903.5,707.5,0.0,2.0,2,5.0,1,,64191.71134020619,65535.0,33153.0,65535.0,6226596.0,5467.9864456648165,0.22437598696408367,4.302720079016025,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID6017,6017,2,-1.0,861.5,873.5,0.0,0.0,0,5.0,1,,65535.0,65535.0,65535.0,65535.0,6356895.0,0.0,0.022464597499943888,Infinity,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
